Event Link,Event Name,Date,Venue,Location
https://www.tapology.com/fightcenter/events/83999-ufc-fight-night,UFC Fight Night: Volkov vs. Aspinall,"Saturday, March 19, 2022",02 Arena,"London, GB"
https://www.tapology.com/fightcenter/events/84364-ufc-fight-night,UFC Fight Night: Santos vs. Ankalaev,"Saturday, March 12, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/84662-ufc-fight-night,UFC 272: Covington vs. Masvidal,"Saturday, March 05, 2022",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/83426-ufc-fight-night,UFC Fight Night: Makhachev vs. Green,"Saturday, February 26, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/83406-ufc-fight-night,UFC Fight Night: Walker vs. Hill,"Saturday, February 19, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/83288-ufc-271,UFC 271: Adesanya vs. Whittaker 2,"Saturday, February 12, 2022",Toyota Center,"Houston, TX"
https://www.tapology.com/fightcenter/events/83125-ufc-fight-night,UFC Fight Night: Hermansson vs. Strickland,"Saturday, February 05, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/82993-ufc-270,UFC 270: N'Gannou vs. Gane,"Saturday, January 22, 2022",Honda Center,"Anaheim, CA"
https://www.tapology.com/fightcenter/events/82805-ufc-fight-night,UFC Fight Night: Kattar vs. Chikadze,"Saturday, January 15, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/82070-ufc-fight-night,UFC Fight Night: Lewis vs. Daukaus,"Saturday, December 18, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/81603-ufc-fight-night,UFC 269: Oliveira vs. Poirier,"Saturday, December 11, 2021",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/82179-ufc-fight-night,UFC Fight Night: Font vs. Aldo,"Saturday, December 04, 2021",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/81602-ufc-fight-night,UFC Fight Night: Vieira vs. Tate,"Saturday, November 20, 2021",UFC APEX,"Las Vegas, NV"
